data,0-39 anni,40-59 anni,60-79 anni,80-89 anni,≥90 anni
2021-01-17,4769.571428571428,3992.5714285714284,2473.8571428571427,830.7142857142857,307.57142857142856
2021-01-18,4697.714285714285,3921.8571428571427,2406.5714285714284,800.0,296.7142857142857
2021-01-19,4659.857142857143,3905.285714285714,2371.5714285714284,794.5714285714286,294.2857142857143
2021-01-20,4653.571428571428,3888.8571428571427,2350.714285714286,787.1428571428571,288.85714285714283
2021-01-21,4644.428571428572,3879.4285714285716,2351.285714285714,791.4285714285714,287.2857142857143
2021-01-22,4635.0,3880.4285714285716,2337.285714285714,792.4285714285714,279.42857142857144
2021-01-23,4680.285714285715,3866.8571428571427,2327.714285714286,779.8571428571429,276.0
2021-01-24,4678.0,3869.714285714286,2300.1428571428573,767.4285714285714,261.14285714285717
2021-01-25,4664.714285714285,3845.1428571428573,2269.0,759.1428571428571,252.0
2021-01-26,4690.0,3803.1428571428573,2230.285714285714,731.1428571428571,240.14285714285714
2021-01-27,4702.857142857143,3780.4285714285716,2225.0,724.2857142857143,224.42857142857142
2021-01-28,4721.142857142857,3784.285714285714,2214.8571428571427,710.0,220.57142857142858
2021-01-29,4695.857142857143,3739.4285714285716,2184.285714285714,701.5714285714286,207.42857142857142
2021-01-30,4664.857142857143,3730.0,2151.8571428571427,694.2857142857143,191.85714285714286
2021-01-31,4706.714285714285,3717.1428571428573,2141.1428571428573,679.5714285714286,189.42857142857142
2021-02-01,4804.571428571428,3767.1428571428573,2167.285714285714,661.0,183.0
2021-02-02,4849.285714285715,3785.4285714285716,2186.1428571428573,667.2857142857143,185.85714285714286
2021-02-03,4893.142857142857,3824.285714285714,2178.714285714286,660.2857142857143,188.42857142857142
2021-02-04,4897.857142857143,3812.714285714286,2176.8571428571427,664.2857142857143,190.14285714285714
2021-02-05,4953.0,3846.285714285714,2167.285714285714,644.4285714285714,189.71428571428572
2021-02-06,5005.714285714285,3895.0,2180.285714285714,626.0,186.42857142857142
2021-02-07,5045.428571428572,3928.5714285714284,2175.0,630.8571428571429,185.57142857142858
2021-02-08,5054.142857142857,3928.1428571428573,2188.285714285714,630.4285714285714,184.28571428571428
2021-02-09,5027.571428571428,3921.0,2179.0,615.0,176.71428571428572
2021-02-10,4995.142857142857,3864.8571428571427,2160.0,600.1428571428571,171.85714285714286
2021-02-11,4976.857142857143,3857.285714285714,2148.714285714286,587.5714285714286,166.85714285714286
2021-02-12,4956.142857142857,3801.285714285714,2125.285714285714,573.8571428571429,157.14285714285714
2021-02-13,4960.142857142857,3770.0,2103.0,567.4285714285714,153.42857142857142
2021-02-14,5009.428571428572,3766.285714285714,2107.0,556.4285714285714,146.42857142857142
2021-02-15,5108.714285714285,3835.4285714285716,2114.285714285714,557.1428571428571,142.28571428571428
2021-02-16,5287.857142857143,3942.5714285714284,2154.4285714285716,557.7142857142857,145.57142857142858
2021-02-17,5442.714285714285,4085.1428571428573,2234.714285714286,578.4285714285714,148.85714285714286
