data,0-5 anni,6-12 anni,13-19 anni,20-29 anni,30-39 anni,40-49 anni,50-59 anni,60-69 anni,70-79 anni,80-89 anni,≥90 anni
2020-03-09,4.428571428571429,1.1428571428571428,2.4285714285714284,19.285714285714285,53.857142857142854,115.0,229.42857142857142,287.14285714285717,380.2857142857143,289.42857142857144,49.57142857142857
2020-03-10,5.428571428571429,1.2857142857142858,2.7142857142857144,21.285714285714285,60.0,127.0,260.2857142857143,318.85714285714283,413.7142857142857,320.85714285714283,53.57142857142857
2020-03-11,5.714285714285714,1.4285714285714286,3.0,22.714285714285715,61.285714285714285,137.42857142857142,282.2857142857143,345.2857142857143,447.85714285714283,336.14285714285717,57.0
2020-03-12,6.0,1.8571428571428572,3.0,23.571428571428573,64.0,150.28571428571428,305.42857142857144,365.2857142857143,471.42857142857144,357.85714285714283,59.714285714285715
2020-03-13,7.0,2.4285714285714284,3.0,26.571428571428573,71.28571428571429,164.71428571428572,331.0,405.0,505.14285714285717,382.2857142857143,61.42857142857143
2020-03-14,7.571428571428571,2.4285714285714284,3.2857142857142856,27.714285714285715,78.71428571428571,180.71428571428572,359.0,440.2857142857143,551.4285714285714,400.7142857142857,66.14285714285714
2020-03-15,7.428571428571429,2.5714285714285716,3.4285714285714284,28.571428571428573,84.0,197.57142857142858,385.7142857142857,476.2857142857143,584.0,420.14285714285717,70.28571428571429
2020-03-16,7.571428571428571,2.4285714285714284,3.4285714285714284,28.428571428571427,86.42857142857143,207.71428571428572,416.85714285714283,506.42857142857144,622.0,434.42857142857144,77.0
2020-03-17,6.857142857142857,2.7142857142857144,3.2857142857142856,27.714285714285715,90.57142857142857,214.85714285714286,434.0,527.7142857142857,639.2857142857143,448.42857142857144,80.14285714285714
2020-03-18,6.857142857142857,2.7142857142857144,2.7142857142857144,28.714285714285715,91.42857142857143,223.14285714285714,452.57142857142856,547.0,649.8571428571429,466.85714285714283,84.14285714285714
2020-03-19,6.714285714285714,2.5714285714285716,2.857142857142857,29.857142857142858,88.85714285714286,219.0,460.42857142857144,563.4285714285714,661.5714285714286,473.85714285714283,88.85714285714286
2020-03-20,6.571428571428571,2.142857142857143,3.4285714285714284,29.0,84.42857142857143,222.0,465.57142857142856,569.2857142857143,670.0,483.7142857142857,94.0
2020-03-21,6.142857142857143,2.0,3.5714285714285716,28.714285714285715,80.42857142857143,212.42857142857142,467.42857142857144,568.2857142857143,666.0,490.57142857142856,98.57142857142857
2020-03-22,6.0,1.5714285714285714,3.857142857142857,26.428571428571427,75.14285714285714,197.57142857142858,454.85714285714283,553.7142857142857,650.7142857142857,498.57142857142856,101.14285714285714
