u40,mid,old,ger
172599.73366985112,134090.17793668664,78291.39512688907,38493.96828205128
171339.84457347475,134015.19597020233,78265.89274558176,36586.38987393148
169748.4470159522,132680.26883007042,76221.55428179193,37153.05200359815
167385.07393181016,130304.3606594243,76611.11534240493,36008.45240829749
164989.8368743101,129589.53595169759,75177.86149140065,33244.55679211132
164237.4351304665,126480.39556142513,74326.00407542741,32475.686869918783
163572.73818646104,127422.60652374555,73975.36100739441,31737.34471292643
163214.0401945649,124323.87682327945,72848.58953750957,30556.397475320337
163612.9892810188,123628.08458427142,71775.64295321026,30637.355245420807
164837.26462078048,122997.81154509162,72053.41327984018,29616.939000589435
165806.0954684681,124698.85623666967,70757.1300470878,29619.744141303505
168040.26770367252,124801.35220162125,70671.45314895677,29072.66737018814
165314.3483190525,125330.5714237894,71701.86444703066,29496.557349798826
161883.1593895159,121990.23308563085,69991.22415548585,28985.48151803983
166669.99939760106,127622.77541698905,72276.5012309544,30146.547352454218
167125.78664338647,129112.08094871092,72374.31107159103,29127.464896586287
166962.24427995866,129718.72888645227,72759.9996125099,26637.67568071446
165982.9699981799,127397.01548377625,72477.5155969774,26374.15689977103
167071.9032369522,129048.31751883394,72771.222911244,26725.056109598805
166321.62732697377,127382.18905145566,71577.25398679085,25659.4671471747
164937.14874920124,127056.28165648122,71483.58692456981,25351.294485952898
171787.8069517009,131765.66563309586,74956.91981712419,24984.402946844704
173379.48091401183,132101.47433062564,75924.97361470992,25723.659002378005
176611.33268195653,135633.05020105373,76606.4837894242,27721.8423117544
178704.49132459867,138100.98945878222,77123.91289015344,26729.725765194336
181098.56788666904,140579.21312018574,78663.33048291327,27367.82024602284
181177.14203563434,141997.6388569083,79725.96506653387,27749.629183817106
183573.30883798347,142846.55372323206,79727.7569042164,27941.04975507987
185780.91090826486,147589.86439257217,81709.38103954593,29369.128654209635
188624.6885130926,150323.20227809314,85321.25294821765,30098.238195393536
189295.8576757581,152246.8908225528,86642.14952839277,30242.156758861875
192750.55877584624,156636.88749978607,88627.59954002219,30829.356997628045
192314.30760403944,157325.8588748741,89731.12442639309,30586.43287527093
197629.38546222128,160195.58690453428,90659.60761447137,31645.55140711447
198475.30193649686,161042.7700050451,92727.59103685549,32244.83547688803
199810.20319278975,163907.9808078917,95120.62099207685,32292.879659758746
200711.8009097433,167556.10530553694,96482.49986139599,32986.29783476216
203278.8894183006,167944.64497041272,97802.9680530079,33809.48265279916
203803.85076400448,168718.9276876399,99587.34680407737,35662.33674872479
204672.3482309927,171367.44251396603,101668.80176513134,36136.203450927125
205839.4894666789,173162.3830435659,102886.83439065018,36689.9558655528
210862.1038414757,177058.10039721854,104633.24121026666,37549.296270315244
211828.1285916947,177264.82084567432,105531.51677107901,38033.06942566766
215382.57298627074,177436.89094839073,104128.24862310552,38353.5034655913
214172.58044863344,180619.48693576548,106760.2252830503,39445.514748766196
214097.49742873033,180637.4084859165,107653.18066938967,39583.0793080963
216757.9444740124,180741.0990206838,108691.11597508885,39973.09698612595
215464.6737131419,180658.68002316557,108638.6289736774,39686.65009331081
216364.15252823615,181316.9738419508,108752.10284269386,39573.67631044811
213988.94265718857,180811.88866768146,108524.31685142672,40061.12476496528
213530.98172531906,180742.31645648027,108938.01558210736,39309.46052523385
214413.57808270093,177282.64993406867,108407.2237481054,38796.31589187693
214932.68294261847,178892.25538102788,109173.21088811796,38312.76805351362
212048.0886492585,176591.23758065092,108285.67618370778,38876.65236336145
213722.43673708144,178115.2131007213,110582.89065614346,39074.71871604105
211542.42090079034,177202.6141452127,109956.27686767395,39466.65322736422
191246.86326380706,157138.93688898202,100258.05638538611,36180.071043051415
206791.71719010634,169275.7347002391,109413.06271822249,40130.693137953465
208429.43423170643,175221.02346727383,109895.30847369794,38598.36031639074
207184.38744643636,168862.29696717122,107892.62727915647,40027.22503851637
210233.57436230913,168546.68897171403,106539.9825854696,37731.89989375454
213356.31823015114,169557.50968750883,106563.82238768679,38573.99703012445
220033.09787031607,171612.12222725982,108025.00436727764,37827.79656285508
239142.91855398996,184006.123664687,114954.31061614156,39795.272760980486
215788.22341654144,162167.3178194009,102226.31691392777,34198.12600523447
213779.27240868306,154641.74001089451,98982.50400165147,33588.97410870164
213014.26849790805,154115.55707354817,97980.96019269738,31130.49851091804
213083.31830307312,152757.35285192163,97030.31770875618,31274.45051464829
211452.34810560814,149329.86750725599,96232.41032565203,30289.243102784363
211302.1958079128,152410.7904482332,96811.69434947554,30797.904532812925
208991.3687229054,149525.52013260144,93095.02222808774,28640.84877935641
210253.37331098955,148241.31651610727,91909.25940782364,27790.097248582246
210000.08513643264,147403.64777247855,90317.11522536828,26967.871338688412
212319.3168460705,146749.15917808385,88159.94459615873,26905.742213640206
211203.31669464783,145495.01398182235,86208.12766475376,26794.822391210015
214518.43759770758,144974.93654331114,84484.10450175634,25931.922691287127
208342.30204435487,142395.76989768457,82895.19930744491,25153.77183644978
208785.84215014565,137682.33819898465,80927.08498908779,23751.39635055422
206692.59766089867,137512.5102145904,78772.39322072949,22000.658273808844
206180.522693458,135087.8858085663,77396.84800523208,22161.538549282544
201887.55239257953,133087.15335468398,75728.12543461454,21569.14599956442
