Date,Tot,Cumulated_Sum
2020-12-27,464.2857142857142,76462.14285714287
2020-12-28,457.2857142857142,76919.42857142858
2020-12-29,460.99999999999994,77380.42857142858
2020-12-30,460.57142857142856,77841.0
2020-12-31,460.42857142857144,78301.42857142858
2021-01-01,459.2857142857143,78760.71428571429
2021-01-02,466.2857142857143,79227.0
2021-01-03,465.2857142857143,79692.28571428571
2021-01-04,468.2857142857142,80160.57142857143
2021-01-05,466.57142857142856,80627.14285714286
2021-01-06,467.28571428571433,81094.42857142858
2021-01-07,470.7142857142857,81565.14285714286
2021-01-08,466.1428571428571,82031.28571428571
2021-01-09,461.0,82492.28571428571
2021-01-10,457.7142857142857,82950.0
2021-01-11,452.2857142857143,83402.28571428571
2021-01-12,461.1428571428571,83863.42857142858
2021-01-13,462.1428571428572,84325.57142857143
2021-01-14,462.0,84787.57142857143
2021-01-15,462.28571428571433,85249.85714285714
2021-01-16,463.0,85712.85714285714
2021-01-17,460.57142857142856,86173.42857142858
2021-01-18,460.0,86633.42857142858
2021-01-19,448.7142857142857,87082.14285714287
2021-01-20,443.14285714285717,87525.28571428572
2021-01-21,438.1428571428572,87963.42857142858
2021-01-22,426.8571428571429,88390.28571428572
2021-01-23,422.57142857142856,88812.85714285714
2021-01-24,422.0,89234.85714285714
2021-01-25,417.8571428571429,89652.71428571429
2021-01-26,407.0,90059.71428571429
2021-01-27,403.1428571428571,90462.85714285714
2021-01-28,397.0,90859.85714285714
2021-01-29,391.0,91250.85714285714
2021-01-30,385.0,91635.85714285714
2021-01-31,375.57142857142856,92011.42857142858
2021-02-01,367.2857142857143,92378.71428571429
2021-02-02,375.42857142857133,92754.14285714287
2021-02-03,369.85714285714283,93124.0
2021-02-04,360.28571428571433,93484.28571428572
2021-02-05,356.57142857142856,93840.85714285716
2021-02-06,350.0,94190.85714285716
2021-02-07,338.8571428571429,94529.71428571429
2021-02-08,333.42857142857144,94863.14285714287
2021-02-09,315.7142857142857,95178.85714285716
2021-02-10,303.0,95481.85714285716
2021-02-11,298.42857142857144,95780.28571428572
2021-02-12,292.0,96072.28571428572
2021-02-13,282.42857142857144,96354.71428571429
2021-02-14,289.57142857142856,96644.28571428572
2021-02-15,290.4285714285714,96934.71428571429
2021-02-16,291.2857142857143,97226.00000000001
2021-02-17,291.2857142857143,97517.28571428574
2021-02-18,290.57142857142856,97807.85714285716
2021-02-19,301.0,98108.85714285716
2021-02-20,306.71428571428567,98415.57142857145
2021-02-21,293.0,98708.57142857145
2021-02-22,288.7142857142857,98997.28571428572
2021-02-23,287.8571428571429,99285.14285714287
2021-02-24,291.85714285714283,99577.00000000001
2021-02-25,288.2857142857143,99865.28571428574
2021-02-26,283.2857142857143,100148.57142857145
2021-02-27,282.2857142857143,100430.85714285716
2021-02-28,294.42857142857144,100725.28571428574
2021-03-01,299.71428571428567,101025.00000000001
2021-03-02,305.14285714285717,101330.14285714288
2021-03-03,306.1428571428571,101636.28571428574
2021-03-04,315.57142857142856,101951.85714285716
2021-03-05,313.42857142857144,102265.28571428574
2021-03-06,314.0,102579.28571428574
2021-03-07,319.00000000000006,102898.28571428574
2021-03-08,329.2857142857143,103227.57142857145
2021-03-09,340.1428571428571,103567.7142857143
2021-03-10,350.5714285714286,103918.28571428574
2021-03-11,351.00000000000006,104269.28571428574
2021-03-12,361.0,104630.28571428574
2021-03-13,377.42857142857144,105007.7142857143
2021-03-14,383.7142857142857,105391.4285714286
2021-03-15,388.57142857142856,105780.00000000001
2021-03-16,389.1428571428571,106169.14285714287
2021-03-17,392.1428571428571,106561.28571428574
2021-03-18,406.85714285714283,106968.14285714287
2021-03-19,409.8571428571429,107378.00000000001
2021-03-20,414.2857142857143,107792.28571428574
2021-03-21,421.14285714285717,108213.4285714286
2021-03-22,424.7142857142857,108638.14285714287
2021-03-23,430.5714285714286,109068.7142857143
2021-03-24,430.1428571428571,109498.85714285716
2021-03-25,427.14285714285717,109926.00000000001
2021-03-26,435.57142857142856,110361.57142857145
2021-03-27,428.1428571428571,110789.7142857143
2021-03-28,427.7142857142858,111217.4285714286
2021-03-29,428.8571428571429,111646.28571428574
2021-03-30,429.0,112075.28571428574
2021-03-31,439.2857142857142,112514.57142857145
2021-04-01,439.2857142857143,112953.85714285716
2021-04-02,432.5714285714286,113386.4285714286
2021-04-03,441.71428571428567,113828.14285714288
2021-04-04,436.28571428571433,114264.4285714286
2021-04-05,433.8571428571429,114698.28571428574
2021-04-06,431.0,115129.28571428574
2021-04-07,423.1428571428571,115552.4285714286
2021-04-08,423.0,115975.4285714286
2021-04-09,423.14285714285717,116398.57142857145
2021-04-10,408.57142857142856,116807.14285714287
2021-04-11,397.85714285714283,117205.00000000001
2021-04-12,382.8571428571429,117587.85714285716
2021-04-13,368.1428571428571,117956.00000000001
2021-04-14,359.57142857142856,118315.57142857145
2021-04-15,348.5714285714286,118664.14285714287
2021-04-16,336.14285714285717,119000.28571428574
2021-04-17,329.4285714285714,119329.7142857143
2021-04-18,330.00000000000006,119659.7142857143
2021-04-19,324.42857142857144,119984.14285714287
2021-04-20,326.1428571428571,120310.28571428574
2021-04-21,323.2857142857143,120633.57142857145
2021-04-22,319.5714285714286,120953.14285714287
2021-04-23,318.85714285714283,121272.00000000001
2021-04-24,305.42857142857144,121577.4285714286
2021-04-25,297.2857142857143,121874.7142857143
2021-04-26,291.14285714285717,122165.85714285716
2021-04-27,279.2857142857143,122445.14285714287
2021-04-28,264.14285714285717,122709.28571428574
2021-04-29,255.71428571428572,122965.00000000003
2021-04-30,242.57142857142856,123207.57142857145
2021-05-01,246.0,123453.57142857145
2021-05-02,235.57142857142858,123689.14285714287
2021-05-03,227.42857142857144,123916.57142857145
2021-05-04,219.42857142857144,124136.00000000003
2021-05-05,213.85714285714286,124349.85714285716
2021-05-06,206.0,124555.85714285716
2021-05-07,202.71428571428572,124758.57142857145
2021-05-08,193.85714285714286,124952.4285714286
2021-05-09,186.42857142857144,125138.85714285716
2021-05-10,180.28571428571425,125319.14285714287
2021-05-11,174.57142857142856,125493.7142857143
2021-05-12,169.85714285714286,125663.57142857145
2021-05-13,163.42857142857144,125827.00000000001
2021-05-14,154.71428571428572,125981.7142857143
2021-05-15,143.14285714285714,126124.85714285716
2021-05-16,135.42857142857142,126260.28571428574
2021-05-17,132.71428571428572,126393.00000000003
2021-05-18,123.28571428571429,126516.28571428574
2021-05-19,119.00000000000001,126635.28571428574
2021-05-20,113.42857142857143,126748.7142857143
2021-05-21,106.42857142857143,126855.14285714288
2021-05-22,102.14285714285714,126957.28571428574
2021-05-23,99.28571428571428,127056.57142857145
2021-05-24,94.57142857142857,127151.14285714288
2021-05-25,92.57142857142858,127243.7142857143
2021-05-26,87.14285714285714,127330.85714285716
2021-05-27,81.28571428571429,127412.14285714288
2021-05-28,77.57142857142857,127489.7142857143
2021-05-29,72.99999999999999,127562.7142857143
2021-05-30,66.14285714285714,127628.85714285716
2021-05-31,62.99999999999999,127691.85714285716
2021-06-01,59.28571428571429,127751.14285714287
2021-06-02,57.28571428571429,127808.4285714286
2021-06-03,57.57142857142858,127866.00000000001
2021-06-04,57.285714285714285,127923.28571428572
2021-06-05,54.857142857142854,127978.14285714287
2021-06-06,55.285714285714285,128033.4285714286
2021-06-07,50.285714285714285,128083.7142857143
2021-06-08,47.42857142857143,128131.14285714287
2021-06-09,44.285714285714285,128175.4285714286
2021-06-10,40.57142857142857,128216.00000000001
2021-06-11,36.285714285714285,128252.28571428572
2021-06-12,34.714285714285715,128287.00000000001
2021-06-13,33.85714285714286,128320.85714285716
2021-06-14,32.85714285714286,128353.7142857143
